kr_code,kr_name,indicator,threshold,direction,tp,sl,max_hold,label,n,win_rate,avg_ret,edge,max_win,max_loss
180640,한진칼,tech_xlk,3.0,BUY,5.0,-3.0,10,중기,41,0.5854,3.0089,123.36,29.94,-12.5
207940,삼성바이오로직스,defense,2.5,BUY,5.0,-3.0,10,중기,40,0.675,3.041,121.64,11.73,-7.0
047810,한국항공우주,gold,-2.5,SELL_SIG,5.0,-3.0,10,중기,45,0.6222,2.7012,121.55,12.93,-7.34
402340,SK스퀘어,institution_net,-2.0,SELL_SIG,3.0,-2.0,5,단기_표준,37,0.7297,3.2559,120.47,11.64,-8.39
402340,SK스퀘어,institution_net,-1.5,SELL_SIG,3.0,-2.0,5,단기_표준,37,0.7297,3.2559,120.47,11.64,-8.39
047810,한국항공우주,tech_xlk,3.0,BUY,5.0,-3.0,10,중기,48,0.5833,2.4879,119.42,13.5,-10.53
052690,한전기술,dow,2.5,BUY,5.0,-3.0,10,중기,34,0.5882,3.4693,117.96,29.91,-7.89
180640,한진칼,tech_xlk,3.0,BUY,2.0,-1.5,3,단기_보수,48,0.625,2.4472,117.47,29.94,-10.9
064350,현대로템,tech_xlk,3.0,BUY,3.0,-2.0,5,단기_표준,46,0.6087,2.5369,116.7,22.31,-7.78
241560,두산밥캣,defense,2.5,BUY,5.0,-3.0,10,중기,43,0.6047,2.712,116.61,18.4,-7.21
021240,코웨이,dow,3.0,BUY,5.0,-3.0,10,중기,47,0.5957,2.4512,115.21,14.07,-11.99
241560,두산밥캣,defense,3.0,BUY,5.0,-3.0,10,중기,31,0.6452,3.7043,114.83,18.4,-7.21
064350,현대로템,sp500,2.0,BUY,3.0,-2.0,5,단기_표준,51,0.5882,2.2364,114.06,22.31,-5.78
034730,SK,gold,-3.0,SELL_SIG,5.0,-3.0,10,중기,32,0.6875,3.5086,112.28,14.6,-7.91
006800,미래에셋증권,foreign_net,-2.0,SELL_SIG,3.0,-2.0,5,단기_표준,30,0.6,3.6892,110.68,24.72,-9.23
006800,미래에셋증권,institution_net,1.5,BUY,5.0,-3.0,10,중기,32,0.5938,3.4002,108.81,23.58,-9.65
402340,SK스퀘어,gold,1.5,BUY,5.0,-3.0,10,중기,50,0.6,2.1564,107.82,12.04,-6.81
034020,두산에너빌리티,institution_net,-2.5,SELL_SIG,3.0,-2.0,5,단기_표준,34,0.7059,3.1135,105.86,12.46,-8.6
079550,LIG넥스원,tech_xlk,3.0,BUY,5.0,-3.0,10,중기,42,0.619,2.5177,105.74,13.91,-8.56
298050,효성첨단소재,nasdaq_fut,2.5,BUY,5.0,-3.0,10,중기,51,0.6078,2.0691,105.53,12.77,-14.44
034020,두산에너빌리티,institution_net,-1.5,SELL_SIG,3.0,-2.0,5,단기_표준,34,0.7059,3.1025,105.48,12.46,-8.6
